Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	1979	20.90	24.00	7.47	4.09
2	1	1979	20.80	22.63	18.27	3.96
3	1	1979	20.48	23.53	7.62	4.01
4	1	1979	21.25	24.13	3.13	4.14
5	1	1979	21.67	24.78	1.84	4.23
6	1	1979	21.60	25.78	6.63	4.32
7	1	1979	21.80	24.27	21.64	4.20
8	1	1979	22.25	23.67	33.65	4.19
9	1	1979	21.00	21.38	86.90	3.86
10	1	1979	20.95	23.35	3.56	4.04
11	1	1979	21.12	24.17	2.12	4.13
12	1	1979	21.35	23.35	11.84	4.07
13	1	1979	21.90	24.30	8.27	4.21
14	1	1979	21.35	23.87	7.41	4.12
15	1	1979	22.15	23.82	18.86	4.19
16	1	1979	22.20	24.20	25.94	4.22
17	1	1979	21.70	23.57	4.99	4.12
18	1	1979	21.82	24.13	21.73	4.18
19	1	1979	21.90	23.63	23.89	4.14
20	1	1979	21.67	24.10	9.01	4.16
21	1	1979	21.33	23.62	10.91	4.09
22	1	1979	20.78	21.45	50.33	3.84
23	1	1979	20.75	21.88	39.79	3.87
24	1	1979	20.65	22.48	2.79	3.92
25	1	1979	20.33	23.97	2.31	4.02
26	1	1979	21.65	23.78	9.57	4.12
27	1	1979	21.80	23.82	14.54	4.14
28	1	1979	21.15	22.52	0.89	3.96
29	1	1979	21.15	23.67	8.45	4.06
30	1	1979	21.38	24.30	14.19	4.13
31	1	1979	22.03	24.32	18.77	4.19
1	2	1979	21.65	24.20	20.20	4.14
2	2	1979	22.02	24.00	42.77	4.16
3	2	1979	22.10	24.17	45.08	4.18
4	2	1979	21.12	23.20	12.87	4.00
5	2	1979	21.32	22.77	28.64	3.97
6	2	1979	21.32	24.05	14.43	4.09
7	2	1979	21.65	24.60	8.58	4.16
8	2	1979	21.75	22.98	17.63	4.02
9	2	1979	20.65	22.00	4.45	3.83
10	2	1979	20.50	22.83	5.14	3.89
11	2	1979	21.32	23.35	11.30	4.00
12	2	1979	21.38	23.82	15.31	4.04
13	2	1979	20.78	22.32	18.08	3.85
14	2	1979	20.80	24.13	8.10	4.01
15	2	1979	21.90	24.47	14.30	4.13
16	2	1979	22.15	23.55	6.54	4.07
17	2	1979	22.03	24.37	23.03	4.12
18	2	1979	21.27	22.30	30.56	3.87
19	2	1979	20.28	24.12	0.89	3.94
20	2	1979	19.27	24.12	0.24	3.84
21	2	1979	21.18	24.92	2.40	4.07
22	2	1979	20.05	21.43	0.99	3.66
23	2	1979	19.75	23.77	3.46	3.83
24	2	1979	21.55	23.57	14.19	3.97
25	2	1979	21.20	25.00	4.32	4.05
26	2	1979	20.70	24.82	4.56	3.99
27	2	1979	20.32	24.10	3.65	3.88
28	2	1979	20.55	23.90	12.10	3.88
1	3	1979	21.03	23.78	18.06	3.90
2	3	1979	21.80	24.10	14.71	3.99
3	3	1979	20.95	23.75	13.18	3.87
4	3	1979	21.07	24.00	10.32	3.90
5	3	1979	20.73	24.40	7.28	3.89
6	3	1979	20.42	24.40	8.66	3.86
7	3	1979	20.58	24.70	8.90	3.89
8	3	1979	20.90	24.02	8.08	3.85
9	3	1979	21.25	24.93	26.18	3.94
10	3	1979	21.27	24.00	11.02	3.86
11	3	1979	21.48	23.87	5.66	3.85
12	3	1979	21.72	23.55	8.34	3.84
13	3	1979	21.53	23.70	19.35	3.82
14	3	1979	21.13	24.45	3.65	3.84
15	3	1979	20.07	24.73	8.96	3.76
16	3	1979	21.60	24.30	35.49	3.85
17	3	1979	22.08	24.67	21.34	3.90
18	3	1979	21.35	22.95	21.15	3.69
19	3	1979	20.80	23.38	15.49	3.67
20	3	1979	21.17	24.20	5.08	3.75
21	3	1979	20.88	25.28	7.32	3.81
22	3	1979	20.05	24.50	6.96	3.66
23	3	1979	21.02	24.78	7.00	3.75
24	3	1979	20.25	23.60	11.86	3.58
25	3	1979	20.95	22.58	3.63	3.54
26	3	1979	20.65	23.07	3.48	3.54
27	3	1979	20.90	23.17	0.52	3.56
28	3	1979	20.25	24.20	12.57	3.58
29	3	1979	21.92	24.27	24.30	3.70
30	3	1979	21.95	23.58	14.06	3.64
31	3	1979	21.23	24.32	15.36	3.63
1	4	1979	21.45	22.90	26.91	3.52
2	4	1979	20.73	22.67	10.02	3.43
3	4	1979	20.57	22.07	6.13	3.36
4	4	1979	20.55	23.90	8.32	3.48
5	4	1979	20.57	24.03	8.38	3.48
6	4	1979	16.45	18.55	5.21	2.72
7	4	1979	12.88	14.27	1.10	2.10
8	4	1979	13.48	15.25	0.78	2.21
9	4	1979	14.90	20.90	0.04	2.75
10	4	1979	19.18	21.75	2.48	3.13
11	4	1979	19.28	23.50	5.94	3.26
12	4	1979	20.88	24.27	7.91	3.42
13	4	1979	21.42	24.65	8.83	3.48
14	4	1979	20.90	25.05	2.87	3.45
15	4	1979	20.98	25.20	0.37	3.46
16	4	1979	20.60	25.23	0.06	3.41
17	4	1979	21.35	25.50	0.22	3.48
18	4	1979	21.23	25.55	2.46	3.46
19	4	1979	21.03	25.32	4.95	3.41
20	4	1979	21.30	24.48	5.25	3.35
21	4	1979	21.10	25.07	2.79	3.37
22	4	1979	21.37	24.30	4.88	3.32
23	4	1979	20.85	23.32	0.30	3.19
24	4	1979	18.57	19.97	1.43	2.77
25	4	1979	16.77	17.87	1.77	2.48
26	4	1979	16.73	19.35	0.60	2.57
27	4	1979	16.65	20.45	0.30	2.63
28	4	1979	18.63	21.77	0.56	2.86
29	4	1979	20.07	22.45	1.06	2.99
30	4	1979	19.25	23.43	6.37	2.99
1	5	1979	19.53	23.77	5.14	3.02
2	5	1979	20.15	23.50	6.42	3.03
3	5	1979	19.98	23.65	6.31	3.02
4	5	1979	20.28	23.95	16.63	3.05
5	5	1979	19.85	24.35	4.41	3.03
6	5	1979	20.42	24.18	3.89	3.05
7	5	1979	21.00	25.23	8.96	3.14
8	5	1979	19.50	24.57	4.04	2.98
9	5	1979	20.68	23.55	2.92	2.98
10	5	1979	20.20	24.85	0.30	3.03
11	5	1979	18.80	23.75	0.00	2.85
12	5	1979	19.67	24.17	0.00	2.92
13	5	1979	18.98	21.75	0.15	2.70
14	5	1979	18.70	23.67	0.52	2.80
15	5	1979	19.30	23.35	1.14	2.81
16	5	1979	19.15	24.30	0.00	2.85
17	5	1979	19.20	24.27	0.00	2.84
18	5	1979	19.50	24.40	0.26	2.86
19	5	1979	20.13	23.20	1.60	2.81
20	5	1979	19.95	24.60	0.00	2.88
21	5	1979	20.33	24.67	0.00	2.90
22	5	1979	19.30	24.65	0.00	2.82
23	5	1979	19.85	24.67	1.14	2.85
24	5	1979	18.68	20.00	1.04	2.47
25	5	1979	16.42	21.00	0.37	2.38
26	5	1979	18.55	20.60	2.61	2.48
27	5	1979	18.17	18.75	1.12	2.34
28	5	1979	17.88	21.90	0.56	2.51
29	5	1979	20.23	23.78	7.21	2.77
30	5	1979	13.95	16.93	3.61	1.94
31	5	1979	8.67	12.90	0.00	1.35
1	6	1979	8.72	14.38	0.02	1.44
2	6	1979	11.82	19.43	0.00	1.95
3	6	1979	17.50	22.87	0.00	2.51
4	6	1979	17.95	22.82	0.00	2.53
5	6	1979	17.65	23.12	0.00	2.52
6	6	1979	18.23	23.35	0.00	2.57
7	6	1979	19.15	23.10	0.32	2.61
8	6	1979	17.35	20.00	0.28	2.30
9	6	1979	16.97	18.95	0.76	2.21
10	6	1979	16.12	20.45	0.24	2.25
11	6	1979	15.70	22.20	0.00	2.32
12	6	1979	18.05	23.53	0.00	2.55
13	6	1979	18.93	24.58	0.00	2.66
14	6	1979	16.95	18.98	1.71	2.20
15	6	1979	11.00	14.65	1.12	1.57
16	6	1979	12.10	16.40	0.02	1.74
17	6	1979	14.45	19.18	0.22	2.05
18	6	1979	13.30	21.45	0.00	2.12
19	6	1979	13.98	20.95	0.00	2.13
20	6	1979	15.40	22.07	0.00	2.28
21	6	1979	17.63	22.97	0.24	2.47
22	6	1979	16.38	22.28	0.00	2.35
23	6	1979	15.48	21.25	0.00	2.24
24	6	1979	15.85	22.77	0.00	2.35
25	6	1979	16.05	18.95	0.50	2.13
26	6	1979	16.25	19.72	0.41	2.19
27	6	1979	16.55	21.30	0.19	2.31
28	6	1979	17.15	23.10	0.00	2.46
29	6	1979	16.08	22.30	0.00	2.35
30	6	1979	16.77	22.55	0.00	2.41
1	7	1979	17.55	22.98	0.00	2.48
2	7	1979	18.20	23.95	0.00	2.59
3	7	1979	17.78	24.10	0.00	2.57
4	7	1979	17.73	24.37	0.00	2.59
5	7	1979	17.70	24.65	0.00	2.61
6	7	1979	17.75	24.42	0.00	2.60
7	7	1979	17.87	24.00	0.00	2.59
8	7	1979	18.40	23.88	0.00	2.62
9	7	1979	19.05	22.20	0.15	2.56
10	7	1979	15.62	19.05	0.45	2.16
11	7	1979	15.50	20.07	0.35	2.22
12	7	1979	17.00	22.45	0.06	2.47
13	7	1979	18.50	24.35	0.00	2.69
14	7	1979	17.80	24.20	0.00	2.64
15	7	1979	18.95	25.88	0.00	2.82
16	7	1979	19.48	24.30	0.00	2.77
17	7	1979	16.90	21.85	0.30	2.46
18	7	1979	17.43	24.02	0.00	2.63
19	7	1979	19.80	24.73	0.19	2.84
20	7	1979	13.38	18.45	0.73	2.03
21	7	1979	14.20	21.73	0.00	2.30
22	7	1979	18.40	24.48	0.00	2.76
23	7	1979	19.65	26.52	0.02	2.98
24	7	1979	21.30	27.00	0.00	3.13
25	7	1979	22.18	28.20	0.00	3.28
26	7	1979	21.35	26.72	0.00	3.14
27	7	1979	20.12	27.53	0.00	3.12
28	7	1979	20.90	26.63	0.00	3.12
29	7	1979	19.00	25.52	0.00	2.94
30	7	1979	18.93	24.60	0.00	2.88
31	7	1979	19.48	25.50	0.00	2.99
1	8	1979	19.88	26.60	0.00	3.10
2	8	1979	20.23	26.55	0.00	3.13
3	8	1979	21.25	26.32	0.00	3.20
4	8	1979	19.08	27.48	0.00	3.14
5	8	1979	18.67	27.55	0.00	3.13
6	8	1979	22.40	29.00	0.00	3.50
7	8	1979	24.80	30.10	0.00	3.75
8	8	1979	23.73	29.53	0.00	3.66
9	8	1979	21.07	28.43	0.00	3.41
10	8	1979	20.15	27.62	0.00	3.31
11	8	1979	22.25	29.18	0.00	3.58
12	8	1979	22.67	29.82	0.00	3.67
13	8	1979	22.90	30.38	0.00	3.74
14	8	1979	23.55	30.73	0.00	3.82
15	8	1979	24.00	28.75	0.00	3.73
16	8	1979	22.13	28.55	0.00	3.60
17	8	1979	23.00	29.53	0.00	3.75
18	8	1979	23.38	29.20	0.39	3.77
19	8	1979	21.82	26.70	0.54	3.49
20	8	1979	20.18	27.90	0.00	3.47
21	8	1979	19.77	28.55	0.00	3.51
22	8	1979	20.20	28.35	0.00	3.54
23	8	1979	22.60	30.22	0.00	3.87
24	8	1979	23.47	30.28	0.00	3.95
25	8	1979	25.45	30.23	0.00	4.11
26	8	1979	23.53	29.68	0.00	3.94
27	8	1979	24.07	29.70	0.58	4.00
28	8	1979	23.30	29.70	0.02	3.96
29	8	1979	24.15	29.35	0.24	4.02
30	8	1979	23.10	30.02	0.00	4.00
31	8	1979	24.13	29.28	0.04	4.04
1	9	1979	24.37	29.60	0.00	4.10
2	9	1979	23.57	29.15	0.11	4.02
3	9	1979	21.48	23.98	0.26	3.48
4	9	1979	21.53	25.75	3.61	3.64
5	9	1979	18.32	22.53	0.00	3.16
6	9	1979	20.45	24.85	0.09	3.51
7	9	1979	22.28	27.28	6.57	3.86
8	9	1979	22.45	26.65	2.25	3.84
9	9	1979	21.67	24.10	16.09	3.59
10	9	1979	21.30	24.12	14.28	3.58
11	9	1979	22.77	26.62	0.52	3.90
12	9	1979	23.32	27.55	0.00	4.04
13	9	1979	23.28	28.92	0.00	4.16
14	9	1979	23.75	28.75	0.06	4.19
15	9	1979	23.45	29.70	0.00	4.26
16	9	1979	23.77	30.85	0.00	4.40
17	9	1979	23.75	28.10	0.41	4.19
18	9	1979	18.85	21.95	0.32	3.31
19	9	1979	15.48	20.85	0.11	2.95
20	9	1979	18.48	26.05	0.00	3.63
21	9	1979	23.28	29.90	0.11	4.35
22	9	1979	24.92	28.73	0.00	4.40
23	9	1979	23.83	29.57	0.00	4.40
24	9	1979	26.67	31.63	0.13	4.82
25	9	1979	25.95	32.22	0.00	4.82
26	9	1979	26.20	30.92	0.19	4.75
27	9	1979	25.67	32.60	0.00	4.86
28	9	1979	26.55	32.40	0.00	4.93
29	9	1979	26.65	32.28	0.00	4.94
30	9	1979	25.00	31.03	0.00	4.71
1	10	1979	24.35	30.53	0.00	4.62
2	10	1979	25.28	31.03	0.00	4.76
3	10	1979	25.45	32.97	0.00	4.95
4	10	1979	26.40	33.38	0.00	5.08
5	10	1979	27.88	33.78	0.00	5.25
6	10	1979	27.23	32.95	0.00	5.13
7	10	1979	26.60	33.90	0.00	5.17
8	10	1979	26.53	31.35	0.00	4.96
9	10	1979	25.28	31.40	0.00	4.87
10	10	1979	26.90	31.75	0.00	5.05
11	10	1979	25.63	31.87	0.00	4.96
12	10	1979	26.18	32.22	0.00	5.05
13	10	1979	26.05	31.20	0.15	4.96
14	10	1979	25.13	31.70	0.00	4.93
15	10	1979	23.38	29.27	2.85	4.58
16	10	1979	17.93	22.18	0.54	3.49
17	10	1979	22.15	28.30	0.00	4.40
18	10	1979	23.45	28.50	0.00	4.54
19	10	1979	23.88	31.23	0.00	4.83
20	10	1979	23.70	30.75	0.00	4.78
21	10	1979	23.98	30.60	0.00	4.80
22	10	1979	24.62	31.00	0.00	4.90
23	10	1979	24.63	30.30	0.06	4.84
24	10	1979	24.43	30.20	1.06	4.82
25	10	1979	24.82	31.20	0.26	4.95
26	10	1979	25.03	29.85	0.65	4.86
27	10	1979	26.13	32.12	0.00	5.16
28	10	1979	26.67	31.87	0.00	5.20
29	10	1979	25.10	32.10	0.80	5.08
30	10	1979	22.48	24.25	2.31	4.16
31	10	1979	24.80	29.60	0.00	4.84
1	11	1979	23.50	30.65	1.66	4.83
2	11	1979	22.60	26.90	5.40	4.42
3	11	1979	21.92	25.30	20.28	4.22
4	11	1979	22.80	25.40	21.88	4.31
5	11	1979	22.58	25.83	9.74	4.33
6	11	1979	22.90	27.27	6.16	4.50
7	11	1979	22.70	26.25	19.35	4.39
8	11	1979	23.40	28.25	0.97	4.64
9	11	1979	21.40	23.62	7.19	4.04
10	11	1979	16.90	20.23	0.22	3.34
11	11	1979	16.13	22.10	0.00	3.44
12	11	1979	18.37	27.10	0.00	4.09
13	11	1979	22.73	28.90	0.22	4.65
14	11	1979	23.45	29.28	2.55	4.75
15	11	1979	24.82	30.92	0.02	5.03
16	11	1979	23.15	28.15	7.62	4.63
17	11	1979	21.60	25.35	10.45	4.24
18	11	1979	22.30	26.00	12.87	4.36
19	11	1979	22.57	25.93	9.44	4.38
20	11	1979	23.20	28.30	1.97	4.66
21	11	1979	22.60	29.15	2.18	4.68
22	11	1979	22.82	27.13	5.83	4.52
23	11	1979	22.67	26.72	8.01	4.47
24	11	1979	22.37	25.85	11.88	4.37
25	11	1979	20.93	26.25	7.54	4.28
26	11	1979	16.65	20.82	1.02	3.40
27	11	1979	18.92	24.10	0.00	3.90
28	11	1979	22.05	28.52	0.00	4.59
29	11	1979	22.02	26.85	10.95	4.44
30	11	1979	21.93	26.17	11.69	4.37
1	12	1979	20.30	22.68	8.45	3.90
2	12	1979	19.98	22.23	6.98	3.83
3	12	1979	19.92	23.55	0.78	3.95
4	12	1979	23.32	28.07	0.00	4.67
5	12	1979	23.15	29.53	0.00	4.79
6	12	1979	24.45	30.08	0.00	4.96
7	12	1979	24.50	30.63	0.00	5.01
8	12	1979	23.50	29.63	5.01	4.83
9	12	1979	22.40	27.85	19.07	4.57
10	12	1979	22.12	24.07	7.58	4.20
11	12	1979	21.53	25.48	0.82	4.28
12	12	1979	22.05	26.50	6.63	4.42
13	12	1979	22.10	24.85	17.04	4.27
14	12	1979	21.70	27.00	7.13	4.43
15	12	1979	22.53	25.00	18.99	4.33
16	12	1979	20.60	22.45	3.05	3.92
17	12	1979	18.42	22.07	0.60	3.69
18	12	1979	21.05	25.65	8.14	4.25
19	12	1979	21.62	25.20	15.47	4.27
20	12	1979	21.38	26.48	9.72	4.36
21	12	1979	21.82	23.52	22.70	4.13
22	12	1979	20.23	24.17	2.74	4.05
23	12	1979	20.35	24.05	3.02	4.05
24	12	1979	21.32	25.05	5.92	4.23
25	12	1979	22.28	25.38	10.50	4.34
26	12	1979	21.70	23.88	11.36	4.15
27	12	1979	20.70	24.08	8.90	4.08
28	12	1979	21.17	24.78	18.51	4.19
29	12	1979	21.57	25.40	11.15	4.28
30	12	1979	22.13	24.65	11.34	4.26
31	12	1979	19.78	21.20	58.04	3.74
1	1	1980	16.93	20.58	3.26	3.42
2	1	1980	19.48	23.73	0.04	3.94
3	1	1980	20.78	24.58	2.85	4.13
4	1	1980	21.75	25.32	9.05	4.29
5	1	1980	22.23	25.70	9.14	4.37
6	1	1980	21.52	25.43	3.95	4.28
7	1	1980	21.13	22.65	56.01	3.99
8	1	1980	20.57	22.95	0.95	3.97
9	1	1980	21.42	25.90	7.52	4.31
10	1	1980	21.33	23.72	13.44	4.11
11	1	1980	21.40	23.30	19.59	4.07
12	1	1980	21.13	22.98	24.49	4.02
13	1	1980	20.75	21.95	26.42	3.89
14	1	1980	21.95	24.30	31.32	4.21
15	1	1980	21.08	23.75	65.02	4.08
16	1	1980	21.35	24.53	9.76	4.18
17	1	1980	21.63	24.55	4.99	4.20
18	1	1980	21.55	23.53	17.37	4.10
19	1	1980	21.28	22.13	19.20	3.95
20	1	1980	20.30	24.63	8.47	4.09
21	1	1980	20.45	24.35	8.47	4.07
22	1	1980	21.13	24.65	4.54	4.16
23	1	1980	21.07	24.18	7.34	4.11
24	1	1980	21.88	23.88	10.89	4.15
25	1	1980	20.98	23.90	9.20	4.07
26	1	1980	20.78	23.60	19.29	4.03
27	1	1980	21.50	24.50	3.95	4.17
28	1	1980	21.50	24.40	11.19	4.16
29	1	1980	21.25	24.28	11.62	4.12
30	1	1980	22.03	24.80	13.15	4.24
31	1	1980	21.88	23.52	11.64	4.11
1	2	1980	21.08	23.70	12.14	4.05
2	2	1980	20.95	22.95	19.66	3.97
3	2	1980	21.00	22.77	1.68	3.95
4	2	1980	20.87	24.53	2.83	4.09
5	2	1980	21.75	24.15	2.55	4.14
6	2	1980	21.12	24.50	1.56	4.11
7	2	1980	21.55	24.25	17.99	4.12
8	2	1980	21.80	23.32	24.62	4.05
9	2	1980	20.58	22.87	3.65	3.90
10	2	1980	21.35	24.50	5.92	4.11
11	2	1980	22.15	24.93	4.64	4.22
12	2	1980	21.92	25.17	2.64	4.21
13	2	1980	21.55	24.00	9.29	4.07
14	2	1980	22.03	22.62	14.30	3.99
15	2	1980	21.57	22.95	43.96	3.97
16	2	1980	21.75	23.42	27.37	4.02
17	2	1980	21.52	22.90	24.30	3.95
18	2	1980	21.38	23.30	61.06	3.97
19	2	1980	21.35	23.00	23.37	3.93
20	2	1980	20.63	23.23	1.84	3.88
21	2	1980	20.75	25.05	5.10	4.05
22	2	1980	21.40	24.63	25.57	4.06
23	2	1980	22.25	24.00	24.34	4.07
24	2	1980	20.43	22.33	23.95	3.76
25	2	1980	20.38	23.25	2.46	3.83
26	2	1980	20.60	22.73	3.87	3.79
27	2	1980	20.85	23.73	12.27	3.90
28	2	1980	21.57	23.28	15.60	3.91
29	2	1980	20.85	23.80	14.43	3.89
1	3	1980	21.40	24.05	11.73	3.95
2	3	1980	20.25	23.63	6.11	3.80
3	3	1980	20.17	22.82	9.01	3.72
4	3	1980	20.35	24.08	13.26	3.83
5	3	1980	20.65	23.85	12.85	3.83
6	3	1980	21.12	22.93	12.29	3.78
7	3	1980	20.97	22.85	13.59	3.75
8	3	1980	20.92	23.80	0.65	3.82
9	3	1980	21.00	24.93	10.50	3.91
10	3	1980	20.55	23.95	15.90	3.78
11	3	1980	21.03	24.80	2.81	3.88
12	3	1980	20.95	25.55	1.99	3.93
13	3	1980	20.75	24.75	11.73	3.83
14	3	1980	21.53	24.67	10.11	3.88
15	3	1980	21.55	25.15	11.62	3.91
16	3	1980	21.95	23.77	25.66	3.82
17	3	1980	21.20	22.00	94.98	3.60
18	3	1980	20.55	24.15	5.90	3.71
19	3	1980	21.40	24.53	6.20	3.80
20	3	1980	21.05	25.57	5.29	3.84
21	3	1980	19.63	24.80	2.53	3.65
22	3	1980	20.65	24.70	3.93	3.71
23	3	1980	20.80	23.85	7.91	3.65
24	3	1980	20.67	25.57	3.15	3.76
25	3	1980	21.70	25.92	6.00	3.86
26	3	1980	21.95	26.65	5.62	3.93
27	3	1980	21.38	25.40	11.84	3.76
28	3	1980	21.52	25.28	6.03	3.75
29	3	1980	21.98	26.20	9.81	3.85
30	3	1980	21.50	25.52	5.57	3.74
31	3	1980	21.35	25.78	4.43	3.74
1	4	1980	21.60	25.65	11.21	3.73
2	4	1980	21.70	24.30	20.30	3.62
3	4	1980	21.68	23.55	9.48	3.54
4	4	1980	20.48	22.28	2.16	3.34
5	4	1980	20.88	23.07	9.16	3.42
6	4	1980	20.60	23.70	6.87	3.43
7	4	1980	20.42	23.95	11.08	3.42
8	4	1980	21.38	24.20	0.65	3.50
9	4	1980	20.88	24.18	6.39	3.44
10	4	1980	21.32	23.82	3.59	3.44
11	4	1980	20.83	24.37	3.63	3.43
12	4	1980	21.35	24.55	0.99	3.46
13	4	1980	21.80	24.38	9.29	3.47
14	4	1980	21.25	24.58	12.55	3.43
15	4	1980	20.10	21.67	1.53	3.11
16	4	1980	18.90	20.12	1.21	2.90
17	4	1980	19.98	23.65	2.25	3.22
18	4	1980	21.40	24.72	3.84	3.39
19	4	1980	21.40	24.57	4.00	3.37
20	4	1980	20.30	24.73	0.41	3.28
21	4	1980	20.88	25.38	0.04	3.36
22	4	1980	19.93	25.90	0.00	3.31
23	4	1980	19.75	25.50	0.00	3.26
24	4	1980	19.95	25.95	0.00	3.29
25	4	1980	19.27	24.48	0.00	3.12
26	4	1980	18.55	24.13	0.00	3.03
27	4	1980	18.30	23.58	0.00	2.96
28	4	1980	20.43	25.50	0.00	3.23
29	4	1980	19.85	25.80	0.00	3.20
30	4	1980	20.50	24.85	0.63	3.16
1	5	1980	20.25	24.18	12.10	3.09
2	5	1980	14.87	16.77	4.30	2.19
3	5	1980	11.73	12.55	12.20	1.67
4	5	1980	13.07	15.05	1.60	1.93
5	5	1980	16.45	21.20	0.28	2.57
6	5	1980	19.73	23.93	1.49	2.97
7	5	1980	20.98	25.63	2.31	3.16
8	5	1980	20.52	25.70	0.32	3.12
9	5	1980	20.73	25.47	1.97	3.10
10	5	1980	21.45	25.60	0.99	3.15
11	5	1980	20.82	24.80	4.21	3.04
12	5	1980	21.05	25.55	1.08	3.09
13	5	1980	20.35	25.43	1.06	3.03
14	5	1980	19.42	24.60	0.00	2.90
15	5	1980	19.03	24.48	0.00	2.85
16	5	1980	18.82	24.90	0.09	2.86
17	5	1980	19.18	25.15	0.00	2.89
18	5	1980	19.55	23.18	0.52	2.77
19	5	1980	19.60	24.80	5.68	2.87
20	5	1980	20.57	24.93	4.64	2.93
21	5	1980	20.90	24.88	3.89	2.94
22	5	1980	20.80	24.25	5.62	2.88
23	5	1980	19.95	23.23	0.06	2.76
24	5	1980	19.60	23.88	1.25	2.77
25	5	1980	20.88	23.73	4.21	2.83
26	5	1980	20.82	24.95	1.45	2.90
27	5	1980	20.63	24.93	0.00	2.87
28	5	1980	19.70	24.92	0.00	2.81
29	5	1980	19.15	24.23	0.00	2.72
30	5	1980	18.48	23.75	0.00	2.64
31	5	1980	18.23	23.05	0.00	2.58
1	6	1980	17.75	23.80	0.00	2.59
2	6	1980	18.75	24.53	0.00	2.69
3	6	1980	18.38	23.25	0.43	2.58
4	6	1980	16.88	18.95	0.95	2.22
5	6	1980	15.95	21.85	0.15	2.34
6	6	1980	18.40	24.30	0.00	2.63
7	6	1980	18.80	24.35	0.00	2.66
8	6	1980	17.93	23.77	0.00	2.56
9	6	1980	18.13	23.50	0.00	2.56
10	6	1980	19.20	24.38	0.02	2.67
11	6	1980	17.32	24.10	0.00	2.54
12	6	1980	18.82	24.48	0.00	2.65
13	6	1980	19.65	25.98	0.35	2.79
14	6	1980	16.42	20.20	0.43	2.24
15	6	1980	15.05	20.65	0.04	2.18
16	6	1980	18.02	24.48	0.00	2.59
17	6	1980	19.07	25.20	0.00	2.70
18	6	1980	20.42	25.33	0.00	2.79
19	6	1980	18.60	24.53	0.00	2.63
20	6	1980	17.57	23.57	0.00	2.51
21	6	1980	16.67	21.00	0.15	2.30
22	6	1980	16.25	22.07	0.00	2.34
23	6	1980	18.50	24.28	0.00	2.61
24	6	1980	21.10	25.27	0.00	2.83
25	6	1980	22.00	26.50	0.02	2.96
26	6	1980	20.28	22.80	4.90	2.63
27	6	1980	16.05	22.35	0.63	2.35
28	6	1980	17.83	24.73	0.00	2.60
29	6	1980	19.75	25.75	0.00	2.79
30	6	1980	20.48	26.72	0.00	2.89
1	7	1980	21.38	26.92	0.00	2.96
2	7	1980	16.23	20.17	0.39	2.24
3	7	1980	10.97	15.42	0.04	1.62
4	7	1980	11.28	17.20	0.13	1.76
5	7	1980	14.98	21.90	0.00	2.28
6	7	1980	16.20	24.02	0.00	2.49
7	7	1980	18.53	24.52	0.00	2.67
8	7	1980	18.23	25.20	0.00	2.70
9	7	1980	19.20	25.75	0.00	2.80
10	7	1980	18.65	25.28	0.00	2.74
11	7	1980	17.40	24.98	0.00	2.65
12	7	1980	16.40	24.40	0.00	2.56
13	7	1980	17.42	24.05	0.00	2.61
14	7	1980	20.50	26.65	0.00	2.97
15	7	1980	21.62	26.53	0.45	3.04
16	7	1980	18.00	26.13	0.00	2.80
17	7	1980	17.48	25.88	0.00	2.75
18	7	1980	18.55	25.95	0.00	2.84
19	7	1980	20.93	27.18	0.00	3.08
20	7	1980	19.18	27.00	0.00	2.96
21	7	1980	17.17	26.52	0.00	2.81
22	7	1980	18.37	26.05	0.00	2.87
23	7	1980	19.35	27.75	0.00	3.05
24	7	1980	18.25	26.60	0.00	2.92
25	7	1980	20.48	26.95	0.00	3.09
26	7	1980	22.70	27.53	0.00	3.29
27	7	1980	23.70	28.28	0.00	3.42
28	7	1980	20.45	27.90	0.00	3.19
29	7	1980	20.80	27.50	0.00	3.20
30	7	1980	21.28	28.25	0.00	3.29
31	7	1980	14.88	20.73	0.02	2.38
1	8	1980	16.12	23.15	0.00	2.63
2	8	1980	20.25	26.57	0.00	3.15
3	8	1980	20.75	26.62	0.00	3.20
4	8	1980	19.75	26.38	0.00	3.13
5	8	1980	21.40	27.17	0.00	3.31
6	8	1980	20.77	26.75	0.00	3.25
7	8	1980	20.48	28.30	0.00	3.35
8	8	1980	23.32	29.23	0.00	3.62
9	8	1980	23.57	29.60	0.00	3.68
10	8	1980	21.10	29.37	0.00	3.51
11	8	1980	19.50	28.07	0.00	3.32
12	8	1980	19.55	28.20	0.00	3.35
13	8	1980	21.15	27.28	0.00	3.41
14	8	1980	22.15	28.33	0.00	3.57
15	8	1980	22.28	29.60	0.00	3.68
16	8	1980	23.48	29.37	0.00	3.77
17	8	1980	24.13	30.45	0.00	3.91
18	8	1980	24.30	29.55	0.00	3.87
19	8	1980	22.40	29.92	0.00	3.78
20	8	1980	25.80	31.07	0.00	4.13
21	8	1980	22.05	30.07	0.00	3.80
22	8	1980	25.55	31.03	0.00	4.14
23	8	1980	26.33	30.70	0.04	4.19
24	8	1980	23.82	31.25	0.00	4.07
25	8	1980	25.00	31.35	0.00	4.18
26	8	1980	21.50	29.15	0.00	3.77
27	8	1980	16.68	23.20	0.00	2.98
28	8	1980	19.13	27.45	0.00	3.50
